,id,utme,utmn,strat_unit,strat_unit_symbol,unit_local,tecunit,era,period,strat_age,gp_suite,fm_lithodm,mem_phase,rock_class,rock_code,rock_type,remarks,rk_char,rk_char_cd,age_max_g,age_min_g,age_stratigraphic,epoch,stage,age_max_t,age_max_t_range?,age_min_t,age_min_t_range?,age_desc,age_method,age_remarks,belt,terrane,basin,basin_age,ckout_by,ckout_date,ckout_tag,mp_id,project,src_id,src_ref,note,strat_age_max,strat_age_min
10,HOY_1011,405614,5428667,PrGFognm,,Progn1,,Proterozoic,Mesoproterozoic,Mesoproterozoic,Grand Forks complex,,,metamorphic rocks,ognm,orthogneiss; granodiorite gneiss,,,,Mesoproterozoic,,,,,,,,,,,,Omineca,basement,,,T. Høy,2020-04-22,revision,Penticton,Boundary,,"Preto, V.A., 1969, Structury and petrology of the Grand Forks complex, British Columbia; GSC, paper 69-22",,Mesoproterozoic,
11,HOY_1012,408623,5428731,PrGFpgnm,,Pr1,,Proterozoic,Mesoproterozoic to Paleoproterozoic,Mesoproterozoic to Paleoproterozoic,Grand Forks complex,,,metamorphic rocks,pgnm,"sillimanite-biotite paragneiss, minor biotite-garnet paragneiss and schist, calc-silicate gneiss and marble, amphibolite and interlayered pegmatite",,,,Paleoproterozoic,Neoproterozoic,,,,,,,,,,,Omineca,basement,,,T. Høy,2020-04-24,revision,Penticton,Boundary,,"Preto, V.A., 1969, Structury and petrology of the Grand Forks complex, British Columbia; GSC, paper 69-22",,Mesoproterozoic,Paleoproterozoic
12,HOY_1013,415706,5436185,JNgd,,mJg,,Mesozoic,Jurassic,Jurassic,Nelson plutonic suite,,,intrusive rocks,gd,"undifferentiated hornblende granite, granodiorite; typically massive and equigranular",,,,Jurassic,Jurassic,,,,,,,,,,,Omineca,Post accretionary,,,T. Høy,2020-04-14,revision,Penticton,Boundary,,"Høy, T. and Jackaman, W., 2005; Geology of the Grand Forks map sheet; B.C. Ministry of Energy and Mines, Geoscience map 2005-2",,Jurassic,
13,HOY_1014,412120,5435801,CPMRsm,,CPms,,Paleozoic,Carboniferous to Permian,Carboniferous to Permian,,Mount Roberts Formation,Mollie Creek assemblage,metamorphic rocks,sm,"siltstone, slate, cordierite-biotite schist, calc-silicate schist",,,,Carboniferous,Permian,,,,,,,,,,,Omineca,Quesnellia,,,T. Høy,2020-12-04,revision,Penticton,Boundary,,"Høy, T. and Jackaman, W., 2005; Geology of the Grand Forks map sheet; B.C. Ministry of Energy and Mines, Geoscience map 2005-2",,Carboniferous,Permian
14,HOY_1015,411915,5436350,CPMRlm,,CPmc,,Paleozoic,Carboniferous to Permian,Carboniferous to Permian,,Mount Roberts Formation,Mollie Creek assemblage,metamorphic rocks,cm,"marble, argillaceous limestone, siltstone",,,,Carboniferous,Permian,,,,,,,,,,,Omineca,Quesnellia,,,T. Høy,2020-12-04,revision,Penticton,Boundary,,"Høy, T. and Jackaman, W., 2005; Geology of the Grand Forks map sheet; B.C. Ministry of Energy and Mines, Geoscience map 2005-2",,Carboniferous,Permian
15,HOY_1016,404516,5432432,PrGFcm,,Pr1m,,Proterozoic,Mesoproterozoic to Paleoproterozoic,Mesoproterozoic to Paleoproterozoic,Grand Forks complex,,,metamorphic rocks,cm,"marble, calc-silicate gneiss; minor pegmatite",,,,Paleoproterozoic,Neoproterozoic,,,,,,,,,,,Omineca,basement,,,T. Høy,2020-04-27,revision,Penticton,Boundary,,"Preto, V.A., 1969, Structury and petrology of the Grand Forks complex, British Columbia; GSC, paper 69-22",,Mesoproterozoic,Paleoproterozoic
16,HOY_1017,410102,5430347,PrGFcm,,Pr1m,,Proterozoic,Mesoproterozoic to Paleoproterozoic,Mesoproterozoic to Paleoproterozoic,Grand Forks complex,,,metamorphic rocks,cm,"marble, calc-silicate gneiss; minor pegmatite",,,,Paleoproterozoic,Neoproterozoic,,,,1681,,,,detrital zircon 1681 ± 1.5 Ma,U-Pb zircon,"Ref: Armstrong et al. (1991): Canadian Journal of Earth Sciences, v. 28, pp. 1169-1201",Omineca,basement,,,T. Høy,2020-04-27,revision,Penticton,Boundary,,"Preto, V.A., 1969, Structury and petrology of the Grand Forks complex, British Columbia; GSC, paper 69-22",,Mesoproterozoic,Paleoproterozoic
17,HOY_1018,407899,5429960,PrGFognm,,Progn1,,Proterozoic,Mesoproterozoic to Paleoproterozoic,Mesoproterozoic to Paleoproterozoic,Grand Forks complex,,,metamorphic rocks,ognm,orthogneiss; granodiorite gneiss,,,,Mesoproterozoic,,,,,,,,,,,,Omineca,basement,,,T. Høy,2020-04-22,revision,Penticton,Boundary,,"Preto, V.A., 1969, Structury and petrology of the Grand Forks complex, British Columbia; GSC, paper 69-22",,Mesoproterozoic,Paleoproterozoic
18,HOY_1019,401795,5430528,PrGFognm,,Progn1,,Proterozoic,Mesoproterozoic to Paleoproterozoic,Mesoproterozoic to Paleoproterozoic,Grand Forks complex,,,metamorphic rocks,ognm,orthogneiss; granodiorite gneiss,,,,Mesoproterozoic,,,,,,,,,,,,Omineca,basement,,,T. Høy,2020-04-22,revision,Penticton,Boundary,,"Preto, V.A., 1969, Structury and petrology of the Grand Forks complex, British Columbia; GSC, paper 69-22",,Mesoproterozoic,Paleoproterozoic
19,HOY_1020,406926,5434811,PrGFpgnm,,Pr1,,Proterozoic,Mesoproterozoic to Paleoproterozoic,Mesoproterozoic to Paleoproterozoic,Grand Forks complex,,,metamorphic rocks,mgn,"sillimanite-biotite paragneiss, minor biotite-garnet paragneiss and schist, calc-silicate gneiss and marble, amphibolite and interlayered pegmatite",,,,Paleoproterozoic,Neoproterozoic,,,,,,,,,,,Omineca,basement,,,T. Høy,2020-04-24,revision,Penticton,Boundary,,"Preto, V.A., 1969, Structury and petrology of the Grand Forks complex, British Columbia; GSC, paper 69-22",,Mesoproterozoic,Paleoproterozoic
20,HOY_1021,399492,5432319,PrGFma,,Pr2a,,Proterozoic,Mesoproterozoic to Neoproterozoic,Mesoproterozoic to Neoproterozoic,Grand Forks complex,,,metamorphic rocks,ma,amphibolite gneiss,,,,Mesoproterozoic,Paleozoic,,,,,,,,,,,Omineca,basement,,,T. Høy,2020-04-24,revision,Penticton,Boundary,,"Preto, V.A., 1969, Structury and petrology of the Grand Forks complex, British Columbia; GSC, paper 69-22",,Mesoproterozoic,Neoproterozoic
21,HOY_1022,399087,5432119,PRGFqm,,Pr2,,Proterozoic,Mesoproterozoic to Neoproterozoic,Mesoproterozoic to Neoproterozoic,Grand Forks complex,,,metamorphic rocks,qm,"quartzite, thick-bedded; minor sillimanite-biotite schist, paragneiss",,,,Mesoproterozoic,Paleozoic,,,,,,,,,,,Omineca,basement,,,T. Høy,2020-04-24,revision,Penticton,Boundary,,"Preto, V.A., 1969, Structury and petrology of the Grand Forks complex, British Columbia; GSC, paper 69-22",,Mesoproterozoic,Neoproterozoic
22,HOY_1023,396995,5433091,PrGFshm,,Pr3,,Proterozoic,Mesoproterozoic to Neoproterozoic,Mesoproterozoic to Neoproterozoic,Grand Forks complex,,,metamorphic rocks,shm,"biotite schist and gneiss with pegmatite and leucogranite; pyroxene-biotite schist and gneiss; minor calc-silicate gneiss, marble and quartzite",,,,Mesoproterozoic,Paleozoic,,,,,,,,,,,Omineca,basement,,,T. Høy,2020-04-24,revision,Penticton,Boundary,,"Preto, V.A., 1969, Structury and petrology of the Grand Forks complex, British Columbia; GSC, paper 69-22",,Mesoproterozoic,Neoproterozoic
23,HOY_1024,397360,5431957,PrGFcm,,Pr4m,,Proterozoic,Mesoproterozoic to Neoproterozoic,Mesoproterozoic to Neoproterozoic,Grand Forks complex,,,metamorphic rocks,cm,"marble, calcareous schist, calc-silicate gneiss",,,,Mesoproterozoic,Paleozoic,,,,,,,,,,,Omineca,basement,,,T. Høy,2020-04-26,revision,Penticton,Boundary,,"Preto, V.A., 1969, Structury and petrology of the Grand Forks complex, British Columbia; GSC, paper 69-22",,Mesoproterozoic,Neoproterozoic
24,HOY_1025,401699,5442865,PrGFshm,,Pr3,,Proterozoic,Mesoproterozoic to Neoproterozoic,Mesoproterozoic to Neoproterozoic,Grand Forks complex,,,metamorphic rocks,shm,"biotite schist and gneiss with pegmatite and leucogranite; pyroxene-biotite schist and gneiss; minor calc-silicate gneiss, marble and quartzite",,,,Mesoproterozoic,Paleozoic,,,,,,,,,,,Omineca,basement,,,T. Høy,2020-04-24,revision,Penticton,Boundary,,"Preto, V.A., 1969, Structury and petrology of the Grand Forks complex, British Columbia; GSC, paper 69-22",,Mesoproterozoic,Neoproterozoic
25,HOY_1026,395917,5435645,PrGFma,,Pr4,,Proterozoic,Mesoproterozoic to Neoproterozoic,Mesoproterozoic to Neoproterozoic,Grand Forks complex,,,metamorphic rocks,ma,"amphibolite, amphibole schist; some marble, calc-silicate gneiss",,,,Mesoproterozoic,Paleozoic,,,,,,,,,,,Omineca,basement,,,T. Høy,2020-04-26,revision,Penticton,Boundary,,"Preto, V.A., 1969, Structury and petrology of the Grand Forks complex, British Columbia; GSC, paper 69-22",,Mesoproterozoic,Neoproterozoic
26,HOY_1027,397775,5438985,PrGFognm,,Progn3,,Proterozoic,Mesoproterozoic,Mesoproterozoic,Grand Forks complex,,,metamorphic rocks,ognm,orthogneiss; biotite-hornblende granodiorite gneiss,,,,Mesoproterozoic,Paleozoic,,,,,,,,,,,Omineca,basement,,,T. Høy,2020-04-24,revision,Penticton,Boundary,,"Preto, V.A., 1969, Structury and petrology of the Grand Forks complex, British Columbia; GSC, paper 69-22",,Mesoproterozoic,
27,HOY_1028,394067,5436143,CPKmvb,,CPk3,,Paleozoic,Carboniferous to Permian,Carboniferous to Permian,Knob Hill complex,,,metamorphic rocks,mvb,"greenstone, massive and fine grained; lava breccia, minor limestone ",,,,Carboniferous,Permian,,,,,,,,,,,Omineca,Quesnellia,,,T. Høy,2020-04-20,revision,Penticton,Boundary,,"Fyles, J.T., 1990, Geolog of the Greenwood-Grand Forks area, British Columbia, NTS 082E/1,2; B.C. Ministry of Energy and Mines, Open file 19.",,Carboniferous,Permian
28,HOY_1029,395443,5441270,EPym,,Prfm,,Cenozoic,Paleogene,Eocene,,,,structure,ym,crushed and mylonitized biotite leuco-quartz monzonite and biotite-hornblende leucogranodiorite,,,,Paleocene ,Eocene,,,,,,,,,,,Omineca,Post accretionary,,,T. Høy,2020-05-05,revision,Penticton,Boundary,,"Preto, V.A., 1969, Structury and petrology of the Grand Forks complex, British Columbia; GSC, paper 69-22",,Eocene,
29,HOY_1030,394225,5437214,TrNBsl,,Trbr3,,Mesozoic,Triassic,Triassic,Nicola Group,Brooklyn Formation,,sedimentary rocks,sl,"limestone, marble, grey chert",,,,Triassic,Triassic,,,,,,,,,,,Omineca,Quesnellia,,,T. Høy,2020-04-13,revision,Penticton,Boundary,,"Fyles, J.T., 1990, Geolog of the Greenwood-Grand Forks area, British Columbia, NTS 082E/1,2; B.C. Ministry of Energy and Mines, Open file 19.",,Triassic,
30,HOY_1031,394256,5441457,ECds,,Emi,,Cenozoic,Paleogene,Eocene,,,,intrusive rocks,ds,"Undifferentiated Eocene intrusion; diorite, monzonite, syenite; may include Coryell or subvolcanic Marron intrusion",probable phase of the Coryell syenite,,,Eocene,,,,,,,,,,,,Omineca,Overlap,,,T. Høy,2021-01-02,revision,Penticton,Boundary,,"Fyles, J.T., 1990, Geology of the Greenwood-Grand Forks area, British Columbia; BCMEMPR, Open file 1990-25",,Eocene,
31,HOY_1032,393904,5440238,TrNBsl,,Trbr3,,Mesozoic,Triassic,Triassic,Nicola Group,Brooklyn Formation,,sedimentary rocks,sl,"limestone, marble, grey chert",,,,Triassic,Triassic,,,,,,,,,,,Omineca,Quesnellia,,,T. Høy,2020-04-13,revision,Penticton,Boundary,,"Fyles, J.T., 1990, Geolog of the Greenwood-Grand Forks area, British Columbia, NTS 082E/1,2; B.C. Ministry of Energy and Mines, Open file 19.", ,Triassic,
32,HOY_1033,393546,5440328,TrNBsg,,Trbr1,,Mesozoic,Triassic,Triassic,Nicola Group,Brooklyn Formation,,sedimentary rocks,sg,sharpstone conglomerate,,,,Triassic,Triassic,,,,,,,,,,,Omineca,Quesnellia,,,T. Høy,2020-04-13,revision,Penticton,Boundary,,"Fyles, J.T., 1990, Geolog of the Greenwood-Grand Forks area, British Columbia, NTS 082E/1,2; B.C. Ministry of Energy and Mines, Open file 19.",,Triassic,
33,HOY_1034,394220,5440474,CPKqm,,CPk1,,Paleozoic,Carboniferous to Permian,Carboniferous to Permian,Knob Hill complex,,,metamorphic rocks,qm,"chert, meta-sandstone, argillite, minor limestone",,,,Carboniferous,Permian,,,,,,,,,,,Omineca,Quesnellia,,,T. Høy,2020-04-13,revision,Penticton,Boundary,,"Fyles, J.T., 1990, Geolog of the Greenwood-Grand Forks area, British Columbia, NTS 082E/1,2; B.C. Ministry of Energy and Mines, Open file 19.",,Carboniferous,Permian
34,HOY_1035,395000,5445011,JRvpy,,Jv,,Mesozoic,Jurassic,Lower Jurassic,Rossland Group,,,metavolcanic rocks,mv,"massive greenstone, plagioclase-pyroxene phyric andesite","The age and correlation of these units is not known, but they have tentatively been correlated with the Jurassic Rossland Group (Acton et al., 2002)",,,Jurassic,Jurassic,,,,,,,,,,,Omineca,Quesnellia,,,T. Høy,2020-04-13,revision,Penticton,Boundary,,"Fyles, J.T., 1990, Geolog of the Greenwood-Grand Forks area, British Columbia, NTS 082E/1,2; B.C. Ministry of Energy and Mines, Open file 19.",,Lower Jurassic,
35,HOY_1036,394858,5445302,CPKqm,,CPk1,,Paleozoic,Carboniferous to Permian,Carboniferous to Permian,Knob Hill complex,,,metamorphic rocks,qm,"chert, meta-sandstone, argillite, minor limestone",,,,Carboniferous,Permian,,,,,,,,,,,Omineca,Quesnellia,,,T. Høy,2020-04-13,revision,Penticton,Boundary,,"Fyles, J.T., 1990, Geolog of the Greenwood-Grand Forks area, British Columbia, NTS 082E/1,2; B.C. Ministry of Energy and Mines, Open file 19.",,Carboniferous,Permian
36,HOY_1037,395232,5446341,CPKmsm,,CPk2,,Paleozoic,Carboniferous to Permian,Carboniferous to Permian,Knob Hill complex,,,metamorphic rocks,msm,"siltstone, light grey to green; minor sandstone, phyllite, greenstone, calcareous units",,,,Carboniferous,Permian,,,,,,,,,,,Omineca,Quesnellia,,,T. Høy,2020-04-20,revision,Penticton,Boundary,,"Fyles, J.T., 1990, Geolog of the Greenwood-Grand Forks area, British Columbia, NTS 082E/1,2; B.C. Ministry of Energy and Mines, Open file 19.",,Carboniferous,Permian
37,HOY_1038,395045,5446956,CPKmvb,,CPk3,,Paleozoic,Carboniferous to Permian,Carboniferous to Permian,Knob Hill complex,,,metamorphic rocks,mvb,"greenstone, massive and fine grained; lava breccia, minor limestone ",,,,Carboniferous,Permian,,,,,,,,,,,Omineca,Quesnellia,,,T. Høy,2020-04-20,revision,Penticton,Boundary,,"Fyles, J.T., 1990, Geolog of the Greenwood-Grand Forks area, British Columbia, NTS 082E/1,2; B.C. Ministry of Energy and Mines, Open file 19.",,Carboniferous,Permian
38,HOY_1039,394967,5447280,TrNBsl,,Trbr3,,Mesozoic,Triassic,Triassic,Nicola Group,Brooklyn Formation,,sedimentary rocks,sl,"limestone, marble, grey chert",,,,Triassic,Triassic,,,,,,,,,,,Omineca,Quesnellia,,,T. Høy,2020-04-13,revision,Penticton,Boundary,,"Acton, S.L., Simony, P.S. and Heaman, L.M., 2002; Nature of the basement to Quesnel terrane near Christina Lake, southeastern B.C., CJES, v. 39, pp. 65-78.",,Triassic,
39,HOY_1040,395088,5448924,TrNBss,,Trbr2,,Mesozoic,Triassic,Triassic,Nicola Group,Brooklyn Formation,,sedimentary rocks,ss,"green and maroon tuffaceous sandstone, siltstone, hornfels, argillite",,,,Triassic,Triassic,,,,,,,,,,,Omineca,Quesnellia,,,T. Høy,2020-04-13,revision,Penticton,Boundary,,"Acton, S.L., Simony, P.S. and Heaman, L.M., 2002; Nature of the basement to Quesnel terrane near Christina Lake, southeastern B.C., CJES, v. 39, pp. 65-78.",,Triassic,
40,HOY_1041,394592,5447774,TrNBsg,,Trbr1,,Mesozoic,Triassic,Triassic,Nicola Group,Brooklyn Formation,,sedimentary rocks,sg,sharpstone conglomerate,,,,Triassic,Triassic,,,,,,,,,,,Omineca,Quesnellia,,,T. Høy,2020-04-13,revision,Penticton,Boundary,,"Acton, S.L., Simony, P.S. and Heaman, L.M., 2002; Nature of the basement to Quesnel terrane near Christina Lake, southeastern B.C., CJES, v. 39, pp. 65-78.",,Triassic,
41,HOY_1042,395875,5450265,EPOdqmz,,ETgr,,Cenozoic,Paleogene,Eocene,Okanagan batholith,,,intrusive rocks,dqmz,"biotite quartz monzonite, granite; equigranular to porphyritic",,,,Paleocene,Eocene,,,,,,,,,,,Omineca,Post accretionary,,,T. Høy,2020-04-19,revision,Penticton,Boundary,,"Preto, V.A., 1969, Structury and petrology of the Grand Forks complex, British Columbia; GSC, paper 69-22",,Eocene,
42,HOY_1043,396616,5450964,EPOdqmz,,ETgr,,Cenozoic,Paleogene,Eocene,Okanagan batholith,,,intrusive rocks,dqmz,"biotite quartz monzonite, granite; equigranular to porphyritic",,,,Paleocene,Eocene,,,,,,,,,,,Omineca,Post accretionary,,,T. Høy,2020-03-26,revision,Penticton,Boundary,,"Preto, V.A., 1969, Structury and petrology of the Grand Forks complex, British Columbia; GSC, paper 69-22",,Eocene,
43,HOY_1044,395068,5451330,JNgd,,mJg,,Mesozoic,Jurassic,Jurassic,Nelson plutonic suite,,,intrusive rocks,gd,"hornblende-biotite granodiorite, quartz diorite and granite",May include undifferentiated Okanagan batholith (Valhalla suite) intrusive,,,Jurassic,Jurassic,,,,,,,,,,,Omineca,Post accretionary,,,T. Høy,2020-04-18,revision,Penticton,Boundary,,"Little, H.w., 1957, Kettle River, British Columbia, 082E½; GSC Map 6-1957",,Jurassic,
44,HOY_1045,393461,5448932,CPKmvb,,CPk3,,Paleozoic,Carboniferous to Permian,Carboniferous to Permian,Knob Hill complex,,,metamorphic rocks,mvb,"greenstone, massive and fine grained; lava breccia, minor limestone ",,,,Carboniferous,Permian,,,,,,,,,,,Omineca,Quesnellia,,,T. Høy,2020-04-20,revision,Penticton,Boundary,,"Fyles, J.T., 1990, Geolog of the Greenwood-Grand Forks area, British Columbia, NTS 082E/1,2; B.C. Ministry of Energy and Mines, Open file 19.",,Carboniferous,Permian
45,HOY_1046,392860,5445778,TrNBsl,,Trbr3,,Mesozoic,Triassic,Triassic,Nicola Group,Brooklyn Formation,,sedimentary rocks,sl,"limestone, marble, grey chert",,,,Triassic,Triassic,,,,,,,,,,,Omineca,Quesnellia,,,T. Høy,2020-04-13,revision,Penticton,Boundary,,"Acton, S.L., Simony, P.S. and Heaman, L.M., 2002; Nature of the basement to Quesnel terrane near Christina Lake, southeastern B.C., CJES, v. 39, pp. 65-78.",,Triassic,
46,HOY_1047,393469,5445689,TrNBss,,Trbr2,,Mesozoic,Triassic,Triassic,Nicola Group,Brooklyn Formation,,sedimentary rocks,ss,"green and maroon tuffaceous sandstone, siltstone, hornfels, argillite",,,,Triassic,Triassic,,,,,,,,,,,Omineca,Quesnellia,,,T. Høy,2020-02-05,revision,Penticton,Boundary,,"Acton, S.L., Simony, P.S. and Heaman, L.M., 2002; Nature of the basement to Quesnel terrane near Christina Lake, southeastern B.C., CJES, v. 39, pp. 65-78.",,Triassic,
47,HOY_1048,392711,5444341,TrNBsl,,Trbr3,,Mesozoic,Triassic,Triassic,Nicola Group,Brooklyn Formation,,sedimentary rocks,sl,"limestone, marble, grey chert",,,,Triassic,Triassic,,,,,,,,,,,Omineca,Quesnellia,,,T. Høy,2020-04-13,revision,Penticton,Boundary,,"Acton, S.L., Simony, P.S. and Heaman, L.M., 2002; Nature of the basement to Quesnel terrane near Christina Lake, southeastern B.C., CJES, v. 39, pp. 65-78.",,Triassic,
48,HOY_1049,393360,5442569,TrNBmvb.pl,,Trbr4,,Mesozoic,Triassic,Upper Triassic,Nicola Group,Brooklyn Formation,,metavolcanic rocks,mvb,"fragmental greenstone, microdiorite",,fragmental,pl,Triassic,Triassic,,,,,,,,,,,Omineca,Quesnellia,,,T. Høy,2020-02-05,revision,Penticton,Boundary,,"Fyles, J.T., 1990, Geolog of the Greenwood-Grand Forks area, British Columbia, NTS 082E/1,2; B.C. Ministry of Energy and Mines, Open file 19.",,Upper Triassic,
49,HOY_1050,392059,5439269,TrNBss,,Trbr2,,Mesozoic,Triassic,Triassic,Nicola Group,Brooklyn Formation,,sedimentary rocks,ss,"green and maroon tuffaceous sandstone, siltstone, hornfels, argillite",,,,Triassic,Triassic,,,,,,,,,,,Omineca,Quesnellia,,,T. Høy,2020-02-05,revision,Penticton,Boundary,,"Fyles, J.T., 1990, Geolog of the Greenwood-Grand Forks area, British Columbia, NTS 082E/1,2; B.C. Ministry of Energy and Mines, Open file 19.",,Triassic,
50,HOY_1051,391082,5438534,TrNBsg,,Trbr1,,Mesozoic,Triassic,Triassic,Nicola Group,Brooklyn Formation,,sedimentary rocks,sg,sharpstone conglomerate,,,,Triassic,Triassic,,,,,,,,,,,Omineca,Quesnellia,,,T. Høy,2020-04-13,revision,Penticton,Boundary,,"Fyles, J.T., 1990, Geolog of the Greenwood-Grand Forks area, British Columbia, NTS 082E/1,2; B.C. Ministry of Energy and Mines, Open file 19.",,Triassic,
51,HOY_1052,391358,5436719,TrNBmvb.pl,,Trbr4,,Mesozoic,Triassic,Upper Triassic,Nicola Group,Brooklyn Formation,,metavolcanic rocks,mvb,"fragmental greenstone, microdiorite",,fragmental,pl,Triassic,Triassic,,,,,,,,,,,Omineca,Quesnellia,,,T. Høy,2020-02-05,revision,Penticton,Boundary,,"Acton, S.L., Simony, P.S. and Heaman, L.M., 2002; Nature of the basement to Quesnel terrane near Christina Lake, southeastern B.C., CJES, v. 39, pp. 65-78.",,Upper Triassic,
52,HOY_1053,390504,5433483,TrNBsl,,Trbr3,,Mesozoic,Triassic,Triassic,Nicola Group,Brooklyn Formation,,sedimentary rocks,sl,"limestone, marble, grey chert",,,,Triassic,Triassic,,,,,,,,,,,Omineca,Quesnellia,,,T. Høy,2020-04-13,revision,Penticton,Boundary,,"Fyles, J.T., 1990, Geolog of the Greenwood-Grand Forks area, British Columbia, NTS 082E/1,2; B.C. Ministry of Energy and Mines, Open file 19.",,Triassic,
